#Time(s) flow thruput(Mb/s)
2s 0 0
2s 1 363.692
2s 2 420.667
2s 3 354.418
2s 4 289.337
2s 5 380.184
2s 6 0
2s 7 187.791
2s 8 243.224
2s 9 300.853
2s 10 214.655
2s 11 434.076
2s 12 257.754
2s 13 442.485
2s 14 293.939
2s 15 374.251
2s 16 323.629
2s 17 452.156
2s 18 212.085
2s 19 397.984
2s 20 435.43
2s 21 342.341
2s 22 435.36
2s 23 470.727
2s 24 377.661
2s 25 0
2s 26 431.996
2s 27 283.24
2s 28 578.604
2s 29 284.455
