#Time(s) flow thruput(Mb/s)
2s 0 145.276
2s 1 0
2s 2 117.057
2s 3 121.846
2s 4 92.3187
2s 5 0
2s 6 108.507
2s 7 95.3555
2s 8 124.439
2s 9 107.713
2s 10 105.984
2s 11 118.832
2s 12 119.556
2s 13 125.49
2s 14 128.784
2s 15 128.293
2s 16 114.207
2s 17 89.2352
2s 18 100.051
2s 19 80.3818
2s 20 117.875
2s 21 115.212
2s 22 0
2s 23 118.318
2s 24 116.38
2s 25 126.167
2s 26 106.335
2s 27 92.7392
2s 28 0
2s 29 155.671
2s 30 125.163
2s 31 92.7392
2s 32 115.352
2s 33 125.747
2s 34 105.611
2s 35 95.2854
2s 36 110.353
2s 37 143.571
2s 38 106.008
2s 39 80.3117
2s 40 117.08
2s 41 146.14
2s 42 90.1462
2s 43 121.379
2s 44 104.653
2s 45 100.892
2s 46 90.1696
2s 47 108.858
2s 48 125.326
2s 49 108.133
2s 50 0
2s 51 127.686
2s 52 102.223
2s 53 104.419
2s 54 110.54
2s 55 133.853
2s 56 70.7341
2s 57 0
2s 58 110.89
2s 59 139.88
2s 60 124.509
2s 61 0
2s 62 143.828
2s 63 120
2s 64 113.973
2s 65 133.479
2s 66 129.157
2s 67 121.729
2s 68 0
2s 69 0
2s 70 0
2s 71 103.625
2s 72 128.667
2s 73 150.322
2s 74 100.939
2s 75 111.731
2s 76 117.921
2s 77 0
2s 78 0
2s 79 111.287
2s 80 80.919
2s 81 113.062
2s 82 0
2s 83 106.568
2s 84 137.24
2s 85 108.017
2s 86 0
2s 87 0
2s 88 101.78
2s 89 144.552
2s 90 0
2s 91 0
2s 92 113.6
2s 93 111.801
2s 94 129.952
2s 95 137.917
2s 96 144.832
2s 97 104.746
2s 98 148.009
2s 99 115.749
