#Time(s) flow thruput(Mb/s)
2s 0 330.894
2s 1 326.76
2s 2 304.965
2s 3 294.009
2s 4 307.277
2s 5 325.965
2s 6 327.741
2s 7 330.544
2s 8 309.497
2s 9 318.514
2s 10 299.942
2s 11 306.834
2s 12 325.195
2s 13 306.366
2s 14 309.894
2s 15 343.883
2s 16 319.985
2s 17 333.884
2s 18 311.225
2s 19 318.794
2s 20 304.918
2s 21 325.615
2s 22 294.92
2s 23 303.96
2s 24 308.002
2s 25 335.333
2s 26 324.003
2s 27 311.833
2s 28 329.142
2s 29 327.32
